ID,Value
HAD1,[[ग्रेटार\N_NNP नयडा\N_NNP]]_NP [[वेस्टनि\N_NNP खस्थवा\V_VM]]_NP खम\QT_QTF जानायनि\V_VM]]_NP [[मुङानो\N_NN]]_NP लायाखै\V_VM ।\RD_PUNC]]_VGF 
HAD2,[[गावसोरनि\PR_PRC दाबिफोरखौ\N_NN]]_NP [[लानानै\V_VM]]_NP [[लुनाय\V_VM खामानिखौ\N_NN]]_NP [[बन्दʼ\N_NN]]_NP [[खालामहोनो\V_VM थाखाय\PSP]]_VGINF [[आबादारि\N_NN आफादफोरनि\N_NN गेजेराव\N_NST]]_NP [[दावराव\N_NN [[दावसि\N_NN जादों\V_VM ।\RD_PUNC]]_VGF 
HAD3,[[रबिबाराव\N_NN [[मायचा\N_NNP गामियाव\N_NN]]_NP [[आबादारि\N_NN बिग्रायखां\N_NN आफादा\N_NN]]_NP [[पनसायत\N_NN लिंनानै\V_VM 25\QT_QTC अक्टबरनिफ्राय\N_NN]]_NP [[लुनाय\V_VM खामानिखौ\N_NN]]_NP [[बन्दʼ\N_NN]]_NP [[खालामनो\V_VM]]_VGINF [[थांखि\N_NN]]_NP [[लादों\V_VM ।\RD_PUNC]]_VGF 
HAD4,[[रेहाय\N_NN होनायनि\V_VM मुङाव\N_NN]]_NP [[खुंथाइ\N_NN]]_NP [[एबा\CC_CCD]]_CCP [[एडीएम\N_NNP [[एलए\N_NNP मावखुलिया\N_NN]]_NP [[से\QT_QTC -\RD_PUNC [[नै\QT_QTC कौटिसो\N_NN रां\N_NN गामिफोराव\N_NN]]_NP [[हरनानै\V_VM [[आबादारिफोरखौ\N_NN [[आवलायगासिनो\V_VM [[दं\V_VAUX ।\RD_PUNC]]_VGF 
HAD5,[[पनसायताव\N_NN आबादारिफोरा\N_NN]]_NP [[बुङो\V_VM]]_VGF [[दि\CC_CCS]]_BLK [[खुंथाया\N_NN आबादारिफोरनि\N_NN जेंनाफोरखौ\N_NN]]_NP [[लानानै\V_VM]]_VGNF [[गोथौवै\RB [[साना\V_VM ।\RD_PUNC]]_VGF 
HAD6,[[खुंथायनि\N_NN गेजेरजों\N_NST]]_NP [[25\QT_QTC सेप्तेमबरनि\N_NN [[सावरायनायाव\V_VM आबादारिफोरखौ\N_NN 15\QT_QTC अक्टबरसिम\N_NN]]_NP [[गासै\PR_PRI गामिफोराव\N_NN रेहाय\N_NN]]_BLK [[राननो\V_VM]]_VGINF [[बिथोन\N_NN [[होनाय\V_VM जादोंमोन\V_VM ।\RD_PUNC]]_VGF 
HAD7,[[पनसायताव\N_NN आबादारिफोरा\N_NN]]_NP [[थि\JJ खालामो\V_VM]]_VGF [[दि\CC_CCS]]_BLK [[25\QT_QTC अक्टबराव\N_NN]]_NP [[मोनथाम\QT_QTC मोनब्रैसो\QT_QTC]]_NP [[हान्जा\N_NN दानानै\V_VM]]_NP [[ग्रेटार\N_NNP [[नयदा\N_NNP वेस्टाव\N_NNP]]_NP [[लुनाय\V_VM खामानिखौ\V_VM]]_NP [[बन्दʼ\N_NN]]_NP [[खालामहोनाय\V_VM जागोन\V_VM ।\RD_PUNC]]_VGF 
HAD8,"[[``\RD_PUNC खुसेर\N_NNP ,\RD_PUNC]]_NP [[बादाम\N_NNP आरो\CC_CCD]]_CCP [[आलु\N_NNP]]_NP बायदि\PSP फसलफोराव\N_NN]]_NP जमा\N_NN जानानै\V_VM]]_VGNF [[बायग्रबहोग्रा\N_NN]]_NP [[गुफुर\JJ]]_JJP [[सुन्दि\N_NN]]_NP [[(\RD_PUNC हवाइट\RD_UNK ग्रब\RD_UNK )\RD_PUNC]]_NP [[जायखौ\PR_PRL]]_CCP गुफुर\JJ लट\RD_UNK]]_NP [[आरो\CC_CCD]]_CCP [[गुफुर\JJ गिलारनि\JJ]]_NP [[मुंजोंबो\N_NN]]_NP [[मिथियो\V_VM]]_VGF [[बेयो\DM_DMD]]_NP [[दा\N_NST]]_RBP [[फाहामजायालाबानो\V_VM]]_NP [[थालांबाय\V_VM ।\RD_PUNC ``\RD_PUNC]]_VGF "
HAD9,[[भारतारि\N_NNP आबाद\N_NN]]_NP [[नायबिजिरसंगिरि\V_VM]]_NP [[आफादनि\N_NN]]_NP [[(\RD_PUNC आईसीएआर\N_NNP )\RD_PUNC]]_NP [[हादरारि\N_NN आबाद\N_NN]]_NP [[बान्जायथाव\N_NN]]_NP [[एमफौ\N_NN एनला\RP_RPD]]_NP नायबिजिरगिरि\N_NN बिगियानगिरिफोरा\N_NN]]_NP [[ओरै\RB बादि\PSP आदब\N_NN]]_NP [[दिहुनबाय\V_VM]]_NP [[दि\CC_CCS]]_VGF [[जायनि\PR_PRL गेजेरजों\N_NST]]_NP [[बे\DM_DMD बेरामखौ\N_NN]]_NP [[जौसे\QT_QTC जौखोन्दो\N_NN फाहामनो\V_VM हानाय\V_VM]]_NP जाबाय\V_VM ।\RD_PUNC]]_VGF 
HAD10,[[बेनि\DM_DMD गेजेरजों\N_NST]]_NP [[थाफादेरनाय\N_NN]]_NP [[गुफुर\JJ एमफौफोरनि\N_NN गेजेरजों\N_NST]]_NP [[गुफुर\JJ एमफौफोरखौ\N_NN]]_NP [[फोजोबस्रांनो\V_VM हायो\V_VM ।\RD_PUNC]]_VGF 
